Created on,"27/9/2023, updated on 10/11/2024"
Created by,TindakMalaysia Network Services PTY LTD
Source,"The Straits Times, 7 September 1968, Government Gazette 7th September 1968"
Description,"First draft proposal of boundaries of parliamentary and DUN constituencies for the 1967-69/71-73 Redelineation Exercise (Peninsular Malaysia only). According to EC, the works on the redelineation started in 1967 though official start date based on the constitution in 1968. Kedah gained one new parliamentary seat, Pulau Pinang gained one new parliamentary seat, Selangor gained one new parliamentary seat, Negeri Sembilan lost one parliamentary seat and Johor lost two parliamentary seats. The number of Kedah DUN constituencies is to increase from 24 to 26, Pulau Pinang gain three new DUN seats, Selangor gain two new DUN seats, Negeri Sembilan will gain one new DUN seats and Johor DUN seats is to lose 4 DUN seats. The outcome of this redelineation exercise was annulled by 1974 constitutional amendments. Parliamentary-DUN Association is built from TindakMalaysia Network Services PTY LTD expertise"
Disclaimer,"While every effort has been made to ensure accuracy and completeness of the data, TindakMalaysia Network Services PTY LTD is not responsible for errors and omissions arising from the dataset. Name and boundary alterations are determined from Newspaper report and may not be comprehensive"
,
Attribute,
Field Name,Field Description
State,State Name
Parliamentary Constituency Code,Proposed Parliamentary Constituency Code (for the Redelineation Exercise)
Parliamentary Constituency Name,Proposed Parliamentary Constituency Name (for the Redelineation Exercise)
State Constituency Code,Proposed State (DUN) Constituency Code (for the Redelineation Exercise)
State Constituency Name,Proposed State (DUN) Constituency Name (for the Redelineation Exercise)
Total Number of Electors (March 1967),Electoral Roll used for the the Redelineation Exercise
Boundary Alteration,As per the information of Government Gazette 7th September 1968
Name Alteration,As per the information of Government Gazette 7th September 1968
